Front	Back	Tags
and	[ənd] <br>和，与，同，又，而；口语中说数字时，用于百位数与紧跟的数之间；然后，接着；（用于动词前代替to，表示目的）·…·为了；（引出说话或提问）那么，于是；（表示结果）结果是，那么，就；（连接相同的词，表示反复或连续）接连，又，愈来愈	红宝书 基础词 Unit01
anecdote	[ˈænɪkˌdoʊt] <br>轶事，奇闻	红宝书 基础词 Unit01
angel	[ˈeɪnʤəl] <br>天使 <br><br>【助记】 angel（天使）的angle（观点）anger（激怒）了魔鬼	红宝书 基础词 Unit01
angle	[ˈæŋgəl] <br>角；角度，观点	红宝书 基础词 Unit01
anger	[ˈæŋgər] <br>n.怒，怒气，怒火②u.使发怒，激怒	红宝书 基础词 Unit01
angry	[ˈæŋgri] <br>愤怒的，生气的；（天气等）恶劣的，狂怒的	红宝书 基础词 Unit01
ankle	[ˈæŋkəl] <br>音“俺磕了”（脚踝）	红宝书 基础词 Unit01
anniversary	[ˌænəˈvərsəri] <br>周年，周年纪念日 <br><br>【助记】 anni（year年）+vers（转）十ary（名词后缀）一年年都能转到→周年（纪念日）	红宝书 基础词 Unit01
announce	[əˈnaʊns]	红宝书 基础词 Unit01
antenna	[ænˈtɛnə] <br>天线（pl.antennas）；触角，触须（pl.antennae）；直觉，感觉（pl.antennae，antennas） 宣布，声称；宣布····的到达（或出席）	红宝书 基础词 Unit01
antique	[ænˈtik] <br>adj.古时的，因古老和稀少而珍贵的；旧式的，过时的 n.古物，古董；古式，古风	红宝书 基础词 Unit01
bet	[bɛt] <br>u.打赌，赌博②n.打赌，赌注 <br><br>【助记】 let（让）我们bet（打赌）吧	红宝书 基础词 Unit01
betray	[bɪˈtreɪ] v. <br>背叛，出卖；暴露，流露，泄露	红宝书 基础词 Unit01
better	[ˈbɛtər] <br>adj.较好的，更好的 adu.更好地 n.较佳者，较优者 v.改善，提高；胜过，超过	红宝书 基础词 Unit01
between	[bɪtˈwin] <br>prep.在(两者)之间 adu.当中，中间	红宝书 基础词 Unit01
beware	[bɪˈwɛr] v. <br><br>【助记】 be（become变得）十ware（当心）→当心（of）当心，谨防	红宝书 基础词 Unit01
bewilder	[bɪˈwɪldər] vt. <br>使迷惑，使糊涂	红宝书 基础词 Unit01
beyond	[bɪɔnd] <br>在（或向）······的那边，远于；迟于，晚于；超出（理解、所及或范围等）	红宝书 基础词 Unit01
cloth	[klɔθ] <br>（一块）布，织物，衣料	红宝书 基础词 Unit01
clothe	[kloʊð] vt. <br>给穿衣，提供衣服	红宝书 基础词 Unit01
clothes	[kloʊðz] <br>衣服，服装	红宝书 基础词 Unit01
clothing	[ˈkloʊðɪŋ] <br><br>【助记】 cloth（衣料）+ing（名词后缀）→衣物衣物，（尤指某种类型的）服装	红宝书 基础词 Unit01
cloudy	[ˈklaʊdi] <br>多云的，阴天的；混浊的，模糊的 <br><br>【助记】 cloud（云）十y（形容词后缀）-多云的	红宝书 基础词 Unit01
clue	[klu] <br>线索；暗示	红宝书 基础词 Unit01
clumsy	[ˈkləmzi] <br>笨拙的；无策略的，无技巧的；制作粗陋的	红宝书 基础词 Unit01
cluster	[ˈkləstər] <br>n.（果实、花等的）串，束，簇；（人或物）的群，组 vi.丛生；群集，聚集	红宝书 基础词 Unit01
clutch	[kləʧ] <br>v.紧紧抓住 n.把握，控制；（汽车、机器等的）离合器	红宝书 基础词 Unit01
desolate	[ˈdɛzələt] <br>[desalatadj.孤独凄凉的，可怜的荒芜的，不毛的 [desalert]ut.感到凄凉，使悲惨；使荒芜 <br><br>【助记】 de（加强）十sol（孤独的）十ate（动词后缀，使··使感到凄凉	红宝书 基础词 Unit01
despair	[dɪˈspɛr] <br>n.绝望 <br><br>【助记】 des（分离）十pair（一对）→把一对情侣分离开→绝望	红宝书 基础词 Unit01
desperate	[ˈdɛspərɪt] <br>绝望的，极其严重的；不顾一切的，拼死的	红宝书 基础词 Unit01
destination	[ˌdɛstɪˈneɪʃən] <br>目的地，终点	红宝书 基础词 Unit01
destiny	[ˈdɛstəni] <br>命运，命中注定的事	红宝书 基础词 Unit01
destruction	[dɪˈstrəkʃən] <br>破坏，消灭 <br><br>【助记】 destruct（破坏）十ion（名词后缀）→把建设好的物体分离一破坏	红宝书 基础词 Unit01
destructive	[dɪˈstrəktɪv] <br><br>【助记】 destruct（破坏）十ive（形容词后缀）→破坏性的破坏性的，毁灭性的	红宝书 基础词 Unit01
engine	[ˈɪnʤən] <br>发动机，引擎；火车头	红宝书 基础词 Unit01
engineer	[ˈɛnʤəˈnɪr] <br>工程师 <br><br>【助记】 engine（发动机）十er（名词后缀，表示人）→制造发动机的人→工程师	红宝书 基础词 Unit01
engineering	[ˈɛnʤəˈnɪrɪŋ] <br><br>【助记】 engineer（工程师）十ing（名词后缀）→工程学工程学	红宝书 基础词 Unit01
enormous	[ɪˈnɔrmɪs] <br>巨大的，庞大的enquire/inquire[inkwaia(r)]u.→询问 询问，打听 <br><br>【助记】 en（动词前缀，使.....）十quire（寻求）	红宝书 基础词 Unit01
enrich	[ɪnˈrɪʧ] vt. <br><br>【助记】 en（动词前缀，使......）十rich（富有的）→使丰富	红宝书 基础词 Unit01
final	[ˈfaɪnəl] <br>最终的，决定性的 使丰富，充实；使肥沃；使富足 →使人进入名单→登记 登记（名字等），记录；吸收（成员）， 招生	红宝书 基础词 Unit01
finally	[ˈfaɪnəli] adv. <br>（用于列举、引出观点等）最后；最终，终于；决定性地，彻底地 <br><br>【助记】 final（最终的）十ly（副词后缀）一最后	红宝书 基础词 Unit01
fine	[faɪn] <br>adj.晴朗的；美好的；优秀的 adu.好，妙，蛮不错；精巧 n.罚金，罚款 .处以罚款	红宝书 基础词 Unit01
finish	[ˈfɪnɪʃ] <br>u.结束，完成 n.结尾，末尾，最后阶段	红宝书 基础词 Unit01
fire	[faɪər] <br>n.火；热情，激情；射击，火力 .开火，射击；解雇；激起，激发	红宝书 基础词 Unit01
fireman	[ˈfaɪrmən] <br>消防队员；司炉工，烧火工人 <br><br>【助记】 fire（火）十man（男人）→灭火的男人→消防队员	红宝书 基础词 Unit01
fireplace	[ˈfaɪərˌpleɪs] <br><br>【助记】 fire（火）+place（地点，场所）→烧火的地点→壁炉壁炉	红宝书 基础词 Unit01
fiscal	[ˈfɪskəl] <br>财政的；国库的；国家岁人的	红宝书 基础词 Unit01
fish	[fɪʃ] <br>u.捕鱼，钓鱼；捞取，掏出，探出	红宝书 基础词 Unit01
fisherman	[ˈfɪʃərˌmæn] <br>渔民，渔夫：捕鱼船 <br><br>【助记】 fisher（渔夫，捕鱼船）十man（人）→渔夫，捕鱼船	红宝书 基础词 Unit01
inner	[ˈɪnər] <br>内部的，里面的；内心的 <br><br>【助记】 inn（小旅馆）inner（内部的）管理很混乱	红宝书 基础词 Unit01
innumerable	[ˌɪˈnumərəbəl] <br>无数的，数不清的 <br><br>【助记】 in（在.....·里面）+numer（数目）+ able（形容词后缀）→在里面数目很多的→无数的	红宝书 基础词 Unit01
input	[ˈɪnˌpʊt] <br>n.输人②ut.输人inquiry/enquiryIn'kwaiarin.词后缀）→向里面询问一打听，询问 询问，打听，调查 <br><br>【助记】 in（在...·里面）+put（放入）→放入到里面→输入 in（在.....里面）+quir（询问）+y（名	红宝书 基础词 Unit01
lecture	[ˈlɛkʧər] <br>.（向……···）演讲，（给·…···讲课 n.演讲，讲课 <br><br>【助记】 lect（选，收）十ure（名词后缀）-选取知识传授→讲课	红宝书 基础词 Unit01
legacy	[ˈlɛgəsi] <br>遗赠物，遗产（祖先传下来的）；后遗症 <br><br>【助记】 leg（动物的腿，腿肉）十acy（名词后缀）→祖先留下的腿肉→遗产	红宝书 基础词 Unit01
legend	[ˈlɛʤənd] <br>传说，传奇	红宝书 基础词 Unit01
lend	[lɛnd] <br><br>【助记】 lest（唯恐）lend（借给）别人lens（镜头）	红宝书 基础词 Unit01
lens	[lɛnz] <br>透镜，镜头 借给，贷（款等）；给予，添加，提供	红宝书 基础词 Unit01
lest	[lɛst] <br>唯恐，免得	红宝书 基础词 Unit01
poke	[poʊk] <br>.戳，刺，捅；伸出；拨弄 n.捅，戳，刺	红宝书 基础词 Unit01
polar	[ˈpoʊlər] <br>[天]两极的，极地的；正好相反的	红宝书 基础词 Unit01
pole	[poʊl] <br>柱，杆；地极，磁极，电极 <br><br>【助记】 pole（柱子）上有hole（洞）	红宝书 基础词 Unit01
pollute	[pəˈlut] <br>弄脏，污染	红宝书 基础词 Unit01
pollution	[pəˈluʃən] <br><br>【助记】 pollut（e）（污染）+ion（名词后缀）一污染污染	红宝书 基础词 Unit01
pool	[pul] <br>n.水池，游泳池；一滩，一片；联营，联合投资 v.集中资源（材料等） <br><br>【助记】 没办法和poor（穷）人搞pool（联营）	红宝书 基础词 Unit01
remark	[rɪˈmɑrk] <br>A man's life isOne wrong move can	红宝书 基础词 Unit01
remarkable	[rɪˈmɑrkəbəl] <br>工宝书 次标明→引人注目 n.话语，评论；引人注目；显耀 <br><br>【助记】 remark（引人注目）十able（形容词后缀）→引人注目的→非凡的，卓越的值得注意的，非凡的，卓越的	红宝书 基础词 Unit01
greedy	[ˈgridi] <br>贪吃的，贪婪的，渴望的 <br><br>【助记】 greed（贪婪）十y（形容词后缀）→贪婪的	红宝书 基础词 Unit01
green	[grin] <br>adj.绿的，青的；未熟的，嫩的 n.绿色；（pl.）蔬菜，植物	红宝书 基础词 Unit01
greenhouse	[ˈgrinˌhaʊs] <br><br>【助记】 green（蔬菜）十house（房子）→蔬菜房→温室温室	红宝书 基础词 Unit01
greet	[grit] <br>问候，招呼；对····做出反应；被····感知	红宝书 基础词 Unit01
greeting	[ˈgritɪŋ] <br><br>【助记】 greet（问候）十ing（名词后缀）→问候问候，致敬like playing chess.lead to a total failure.ia）Freud步走错，全盘皆输。利门弗洛伊德	红宝书 基础词 Unit01
stand	[stænd] <br>u.（stood，stood）站，站立；坐落，位于；坚持，维持现状；经受，忍受 n.台，座 本单元重点词，	红宝书 必考词 Unit02
standard	[ˈstændərd] <br>n.（品质的）标准，水平，规格，规范；行为标准，道德水准 adj.（pl.）普通的，正常的，规范的 <br><br>【助记】 stand（站，坚持）十ard（名词兼形容词后缀）→标准	红宝书 必考词 Unit02
standpoint	[ˈstændˌpɔɪnt] <br><br>【助记】 stand（站）+point（点）→立场，观点立场，观点	红宝书 必考词 Unit02
stance	[stæns] <br>（公开表明的）观点，态度，立场；（尤指体育运动中的）站立姿势	红宝书 必考词 Unit02
start	[stɑrt] <br>u.开始，动手；动身，出发；开动，启动 n.开端，开始，起点；惊起，吃惊 <br><br>【助记】 她start（吃惊）地stare（凝视）着store（商店）里的人	红宝书 必考词 Unit02
startle	[ˈstɑrtəl] <br>惊讶，惊吓，使吃惊 <br><br>【助记】 start（吃惊）十le（动词后缀）→使吃惊	红宝书 必考词 Unit02
starve	[stɑrv]	红宝书 必考词 Unit02
state	[steɪt] <br>n.状态，情况；国，州 ut.陈述，说明 <br><br>【助记】 st（站）十ate（名词和动词后缀）→站着的样子→状态	红宝书 必考词 Unit02
statement	[ˈsteɪtmənt] <br><br>【助记】 state（陈述）十ment（名词后缀）→陈述声明，陈述	红宝书 必考词 Unit02
statesman	[ˈsteɪtsmən] <br><br>【助记】 state（国，州，国家，政府）十s十man（人）→政治家政治家，国务活动家	红宝书 必考词 Unit02
statistics	[stəˈtɪstɪks] <br><br>【助记】 statist（统计学家）十ic3（名词后缀）→统计学统计数字，统计数据，统计资料；统计学	红宝书 必考词 Unit02
statue	[ˈstæˌʧu] <br>塑像，雕塑	红宝书 必考词 Unit02
status	[ˈstætəs] <br><br>【助记】 给有status（身份）的人statue（塑像）地位，身份，职业；情形，状况	红宝书 必考词 Unit02
statute	[ˈstæʧut] <br>。5°	红宝书 必考词 Unit02
stay	[steɪ] <br>v.停留，待；保持；逗留 n.停留，逗留；作客 法令，法规，规则，章程，条例	红宝书 必考词 Unit02
steady	[ˈstɛdi] <br>adj.稳的，牢固的，不摇晃的；坚的，扎实的②~.使稳固，使稳定	红宝书 必考词 Unit02
steer	[stɪr] <br>掌舱，驾驶；带领，指导；沿着（道路等前进	红宝书 必考词 Unit02
stem	[stɛm] <br>n.茎，干；词干②~.制止，阻止，遏制（from）起源于（某事物）	红宝书 必考词 Unit02
step	[stɛp] <br>n.步，脚步；台阶，梯阶；步骤，措 v.踏，走，举步 <br><br>【助记】 在steep（陡峭的）山坡上她stop（停 下了step（脚步）	红宝书 必考词 Unit02
stern	[stərn] <br>S131 adj.严厉的，严肃的，严格的 n.船尾，飞机尾部	红宝书 必考词 Unit02
anonymous	[əˈnɑnəməs] <br><br>【助记】 an（无）十onym（名字）+ous（形容后缀）一没有名字的→匿名的匿名的，无名的；无特色的	红宝书 必考词 Unit02
answer	[ˈænsər] <br>n.答复，答案，回答 u.回答，响应；适合（需要、目的、愿等）；（to，for）负有责任，须作交待；（to）符合	红宝书 必考词 Unit02
anticipate	[ænˈtɪsəˌpeɪt] <br>预期，预料，期望；早于别人做成；先发人；预先考虑并满足（请求、要求、希等);使提前发生 <br><br>【助记】 anti（反对）十cip（拿。取）十ate（动词缀）→反对别人拿取→先发制人	红宝书 必考词 Unit02
anxiety	[æŋˈzaɪəti] <br>焦虑，担心，不安；焦虑的原因，担忧事，心事；渴望，热望	红宝书 必考词 Unit02
anxious	[ˈæŋʃəs]	红宝书 必考词 Unit02
apart	[əˈpɑrt] <br>adu.分离，分开；（在空间、时间方面）相隔，相距；单独地，个别地；成零碎；(撇开或排除）在一旁 adj.分离的；意见不一致的 红宝书 渴望的，急切的 <br><br>【助记】 a（off脱离）十part（分开）→分离	红宝书 必考词 Unit02
assassinate	[əˈsæsəˌneɪt] vt. <br>暗杀，行刺；中伤，破坏（名誉等） <br><br>【助记】 assassin（刺客）十ate（动词后缀）→行刺	红宝书 必考词 Unit02
assault	[əˈsɔlt] <br>n.攻击，袭击②u.攻击，袭击；强暴 <br><br>【助记】 as（加强语气）十sault（如同salt盐）→把盐向伤口上撒→攻击	红宝书 必考词 Unit02
assemble	[əˈsɛmbəl] <br>集合，召集；装配，组装 <br><br>【助记】 as（加强）十semble（类似）→把类似的放到一起→集合	红宝书 必考词 Unit02
assembly	[əˈsɛmbli] <br>集合，集会；装配，安装 <br><br>【助记】 assembl（e)（集合）十y（名词后缀）→集合	红宝书 必考词 Unit02
assert	[əˈsərt] v. <br><br>【助记】 as（加强）十sert（ioin加入）→加入观点→主张主张，维护；肯定地说（出），坚定地断言	红宝书 必考词 Unit02
component	[kəmˈpoʊnənt] <br>adj.（整体中的）一部分的，组成的 n.组成部分，成分，部件 <br><br>【助记】 com（共同）十pon（放置）十ent（形容词兼名词后缀）→共同放在一起的→一部分的	红宝书 必考词 Unit02
compose	[kəmˈpoʊz] <br>组成；创作（音乐、文学作品），为·····谱曲；使（自己、思想等）准备好，使平静	红宝书 必考词 Unit02
composition	[ˌkɑmpəˈzɪʃən] <br><br>【助记】 compos（e）（组成）十ition（名词后缀）→组成	红宝书 必考词 Unit02
comprehend	[ˌkɑmpriˈhɛnd] vt. <br>作品，作文；作词，作曲；结构，组成 <br><br>【助记】 com（共同，彻底）十prehend（抓住）→彻底抓住一理解理解，了解	红宝书 必考词 Unit02
